502956942	7455	7491
2048228429	7492	7498
773391431	7498	7504
809081256	7505	7511
539516125	7511	7517
1907457285	7518	7524
2111465201	7525	7530
619083793	7531	7537
879134037	7538	7544
1114679303	7545	7550
1906627160	7551	7557
1373852192	7558	7563
1270140809	7564	7571
666211288	7571	7577
23123047	7577	7583
519112276	7584	7592
2016716356	7592	7598
1492856216	7598	7604
1921550775	7605	7611
319668291	7611	7617
2032834914	7618	7626
220869996	7626	7633
732153764	7634	7642
230124711	7643	7649
649574175	7650	7655
10444194	7655	7661
1047880136	7662	7669
1961998720	7669	7676
485294016	7677	7684
1865728689	7684	7693
1629673397	7693	7701
428826133	7701	7710
361792791	7711	7717
485473173	7718	7727
627490731	7728	7734
445275236	7735	7744
1589833404	7744	7751
1908342366	7752	7761
1042320651	7761	7768
1333264974	7769	7779
1208513930	7780	7787
231740992	7787	7796
2105309842	7797	7804
952814131	7804	7813
882570327	7813	7820
1508634770	7821	7830
869175775	7830	7838
649837526	7838	7848
177329889	7849	7861
772220404	7862	7868
344754303	7869	7878
303080514	7879	7886
118619920	7886	7896
1111495950	7897	7903
1391999608	7904	7913
